tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,runtimeMinutes,genres,averageRating,numVotes,lead_actors_ids,plot,budget,box_office,language,country
tt0111161,movie,The Shawshank Redemption,The Shawshank Redemption,0,1994.0,142.0,Drama,9.3,3185031,"['nm0000209', 'nm0000151', 'nm0348409', 'nm0006669', 'nm0000317']",A wrongfully convicted banker forms a close friendship with a hardened convict over a quarter century while retaining his humanity through simple acts of compassion.,$25 million,$73.3 million,English,United States
tt0468569,movie,The Dark Knight,The Dark Knight,0,2008.0,152.0,"Action,Crime,Drama",9.1,3164142,"['nm0000288', 'nm0005132', 'nm0001173', 'nm0000323', 'nm0350454']","When a menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman, James Gordon and Harvey Dent must work together to put an end to the madness.",$185 million,$1.009 billion,English,
tt1375666,movie,Inception,Inception,0,2010.0,148.0,"Action,Adventure,Sci-Fi",8.8,2813777,"['nm0000138', 'nm0330687', 'nm0680983', 'nm0913822', 'nm0362766']","A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a CEO, but his tragic past may doom the project and his team to disaster.",$160 million,$839 million,English,
tt0137523,movie,Fight Club,Fight Club,0,1999.0,139.0,"Crime,Drama,Thriller",8.8,2604651,"['nm0000093', 'nm0001570', 'nm0001533', 'nm0340260', 'nm0037118']",An insomniac office worker and a devil-may-care soap maker form an underground fight club that evolves into much more.,$63–65 million,$102 million,English,United States[a]
tt0816692,movie,Interstellar,Interstellar,0,2014.0,169.0,"Adventure,Drama,Sci-Fi",8.7,2524464,"['nm0000190', 'nm0004266', 'nm1567113', 'nm3237775', 'nm0000995']","When Earth becomes uninhabitable in the future, a farmer and ex-NASA pilot, Joseph Cooper, is tasked to pilot a spacecraft, along with a team of researchers, to find a new planet for humans.",$165 million,$773.8 million,English,
tt0109830,movie,Forrest Gump,Forrest Gump,0,1994.0,142.0,"Drama,Romance",8.8,2494340,"['nm0000158', 'nm0000705', 'nm0000641', 'nm0000398', 'nm0931508']","The history of the United States from the 1950s to the '70s unfolds from the perspective of an Alabama man with an IQ of 75, who yearns to be reunited with his childhood sweetheart.",$55 million,$678 million,English,United States[1]
tt0110912,movie,Pulp Fiction,Pulp Fiction,0,1994.0,154.0,"Crime,Drama",8.8,2433196,"['nm0000237', 'nm0000235', 'nm0000168', 'nm0000246', 'nm0000619']","The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption.",$8–8.5 million,$213.9 million,English,United States
tt0133093,movie,The Matrix,The Matrix,0,1999.0,136.0,"Action,Sci-Fi",8.7,2245353,"['nm0000206', 'nm0000401', 'nm0005251', 'nm0915989', 'nm0287825']","When a beautiful stranger leads computer hacker Neo to a forbidding underworld, he discovers the shocking truth--the life he knows is the elaborate deception of an evil cyber-intelligence.",$63 million,$467.8 million,English,
tt0068646,movie,The Godfather,The Godfather,0,1972.0,175.0,"Crime,Drama",9.2,2224163,"['nm0000008', 'nm0000199', 'nm0001001', 'nm0000473', 'nm0144710']",The aging patriarch of an organized crime dynasty transfers control of his clandestine empire to his reluctant son.,$6–7 million,$250–291 million,English,United States
tt0120737,movie,The Lord of the Rings: The Fellowship of the Ring,The Lord of the Rings: The Fellowship of the Ring,0,2001.0,178.0,"Adventure,Drama,Fantasy",8.9,2204505,"['nm0000704', 'nm0005212', 'nm0089217', 'nm0000293', 'nm0397102']",A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.,$93 million,$897 million,English,
tt0167260,movie,The Lord of the Rings: The Return of the King,The Lord of the Rings: The Return of the King,0,2003.0,201.0,"Adventure,Drama,Fantasy",9.0,2162614,"['nm0000704', 'nm0001557', 'nm0005212', 'nm0089217', 'nm0032370']",Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.,$94 million,$1.148 billion,English,
tt0114369,movie,Seven,Se7en,0,1995.0,127.0,"Crime,Drama,Mystery",8.6,2018668,"['nm0000151', 'nm0000093', 'nm0000228', 'nm0001825', 'nm0669254']",Two detectives try to track down a serial killer who chooses his victims based on the Seven Deadly Sins.,,,,
tt1345836,movie,The Dark Knight Rises,The Dark Knight Rises,0,2012.0,164.0,"Action,Crime,Drama",8.4,1991992,"['nm0000288', 'nm0362766', 'nm0004266', 'nm0000198', 'nm0330687']","Bane, an imposing terrorist, attacks Gotham City and disrupts its eight-year-long period of peace. This forces Bruce Wayne to come out of hiding and don the cape and cowl of Batman again.",$250–300 million (gross),$1.115 billion,English,
tt0167261,movie,The Lord of the Rings: The Two Towers,The Lord of the Rings: The Two Towers,0,2002.0,179.0,"Adventure,Drama,Fantasy",8.8,1955366,"['nm0000704', 'nm0005212', 'nm0001557', 'nm0089217', 'nm0021600']","While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard.",$94 million,$944 million,English,
tt1853728,movie,Django Unchained,Django Unchained,0,2012.0,165.0,"Drama,Western",8.5,1880989,"['nm0004937', 'nm0910607', 'nm0000138', 'nm0913488', 'nm0000168']","With the help of a German bounty-hunter, a freed slave sets out to rescue his wife from a brutal plantation owner in Mississippi.",$100 million,$449.8 million,English,United States[2]
tt0172495,movie,Gladiator,Gladiator,0,2000.0,155.0,"Action,Adventure,Drama",8.5,1847783,"['nm0000128', 'nm0001618', 'nm0001567', 'nm0001657', 'nm0001321']",A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery.,,,,
tt0993846,movie,The Wolf of Wall Street,The Wolf of Wall Street,0,2013.0,180.0,"Biography,Comedy,Crime",8.2,1785255,"['nm0000138', 'nm1706767', 'nm3053338', 'nm0000190', 'nm0151419']","Based on the true story of Jordan Belfort, from his rise to a wealthy stock-broker living the high life to his fall involving crime, corruption and the federal government.",,,,
tt0361748,movie,Inglourious Basterds,Inglourious Basterds,0,2009.0,153.0,"Adventure,Drama,War",8.4,1781381,"['nm0000093', 'nm1208167', 'nm0744834', 'nm0491259', 'nm0910607']","In Nazi-occupied France during World War II, a plan to assassinate Nazi leaders by a group of Jewish U.S. soldiers coincides with a theatre owner's vengeful plans for the same.",$70 million,$321.5 million,"English
German
French",
tt0102926,movie,The Silence of the Lambs,The Silence of the Lambs,0,1991.0,118.0,"Crime,Drama,Horror",8.6,1721619,"['nm0000149', 'nm0000164', 'nm0001277', 'nm0505971', 'nm0372217']","A young F.B.I. cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer, a madman who skins his victims.",$19 million,$272.7 million,English,United States
tt0372784,movie,Batman Begins,Batman Begins,0,2005.0,140.0,"Action,Crime,Drama",8.2,1712065,"['nm0000288', 'nm0000288', 'nm0000323', 'nm0913822', 'nm0000553']","After witnessing his parents' death, billionaire Bruce Wayne learns the art of fighting to confront injustice. When he returns to Gotham as Batman, he must stop a secret society that intends to destroy the city.",$150 million,$375.4 million,English,
tt7286456,movie,Joker,Joker,0,2019.0,122.0,"Crime,Drama,Thriller",8.3,1691651,"['nm0001618', 'nm0000134', 'nm5939164', 'nm0175814', 'nm0191442']","Arthur Fleck, a party clown and a failed stand-up comedian, leads an impoverished life with his ailing mother. However, when society shuns him and brands him as a freak, he decides to embrace the life of chaos in Gotham City.",,,,
